GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,Naive,real,t
0.325701535,0.262836456,0.254472733,0.225983814,0.291970134,0.728808043,0.245475727,0.228814912,208
0.289279193,0.249563098,0.230945721,0.230785676,0.451420367,0.714802152,0.228814912,0.227985063,209
0.276778221,0.241270542,0.238131315,0.234978399,0.26312685,0.719211171,0.227985063,0.213590374,210
0.291411489,0.238545656,0.227505326,0.240913666,0.388387114,0.71655564,0.213590374,0.193785707,211
0.30877012,0.237483382,0.217814028,0.21668886,0.310418189,0.701119508,0.193785707,0.205882353,212
0.264313102,0.230157197,0.211061031,0.221017884,0.345490068,0.689903806,0.205882353,0.199466982,213
0.264159322,0.225463986,0.211223215,0.218006631,0.279835045,0.68431655,0.199466982,0.166017682,214
0.284269601,0.211643159,0.195421785,0.195025886,0.316471547,0.622311817,0.166017682,0.146994989,215
0.230645478,0.186771512,0.174907804,0.172260361,0.296782196,0.610528677,0.146994989,0.162570617,216
0.172325253,0.166335166,0.169349834,0.177766792,0.283349514,0.629740109,0.162570617,0.170007341,217
0.155807614,0.163470149,0.162163585,0.20205739,0.388807088,0.629739978,0.170007341,0.172895854,218
0.18386966,0.176591814,0.165987447,0.214781338,0.36376527,0.64130152,0.172895854,0.15984169,219
0.214892089,0.187745452,0.168207169,0.210287156,0.349795669,0.632236464,0.15984169,0.158660751,220
0.223477006,0.19363153,0.168925002,0.207004725,0.313284039,0.600900189,0.158660751,0.17516198,221
0.222661138,0.200097799,0.177529067,0.205985635,0.298217535,0.608815718,0.17516198,0.20861128,222
0.225560427,0.210124075,0.19310829,0.207511322,0.345985293,0.610220753,0.20861128,0.213797836,223
0.221051335,0.213248491,0.195692986,0.217256177,0.400546074,0.641865721,0.213797836,0.206536657,224
0.238150239,0.214671314,0.201716825,0.234074626,0.34410724,0.65612871,0.206536657,0.19118445,225
0.271773338,0.220532537,0.205394298,0.232801116,0.336538196,0.640509972,0.19118445,0.180939006,226
0.283040136,0.226390421,0.198292628,0.227911767,0.344300091,0.660906495,0.180939006,0.173502282,227
0.29046759,0.227759063,0.19583717,0.219238703,0.254847378,0.656505774,0.173502282,0.181609269,228
0.289252788,0.230104268,0.192035139,0.22372112,0.310873151,0.660881457,0.181609269,0.165491047,229
0.298340857,0.229190052,0.188075915,0.213310971,0.259465098,0.665982921,0.165491047,0.16370368,230
0.291395575,0.222627997,0.181767344,0.209816403,0.268757641,0.663349068,0.16370368,0.183971147,231
0.258459747,0.222484589,0.187187165,0.213557686,0.290356904,0.651220804,0.183971147,0.183859436,232
0.266107857,0.222795427,0.190213546,0.214759588,0.285802513,0.654461702,0.183859436,0.186189397,233
0.268306971,0.224230409,0.185927868,0.228047679,0.351461023,0.655171164,0.186189397,0.181034758,234
0.286068827,0.228049159,0.19588232,0.220414591,0.243610352,0.656700589,0.181034758,0.187785261,235
0.290121645,0.229497731,0.195984393,0.218274559,0.328906327,0.676949898,0.187785261,0.161692892,236
0.276619077,0.219472587,0.186901391,0.200358203,0.271503448,0.682998031,0.161692892,0.159682104,237
0.251224935,0.203363776,0.177895963,0.197124226,0.258018374,0.679997693,0.159682104,0.166065558,238
0.215087235,0.195839942,0.175022036,0.197620763,0.310706317,0.670551871,0.166065558,0.167517794,239
0.215411544,0.192560494,0.173030019,0.197847724,0.293541342,0.663328814,0.167517794,0.164916536,240
0.231910765,0.183922946,0.181795925,0.166460592,0.272757798,0.624543266,0.164916536,0.179438894,241
0.156803071,0.166960776,0.160424143,0.182148028,0.460534692,0.670186195,0.179438894,0.15937889,242
0.163955271,0.156731367,0.170690984,0.194107548,0.229553729,0.678466361,0.15937889,0.169895631,243
0.180473268,0.166105866,0.163642317,0.224524609,0.455612183,0.693847409,0.169895631,0.166432607,244
0.205027103,0.188565016,0.173989892,0.205576345,0.322628051,0.668861603,0.166432607,0.157495771,245
0.222937942,0.191364586,0.166872993,0.205865708,0.333794862,0.677450981,0.157495771,0.158756503,246
0.21999234,0.193327904,0.16886574,0.201368583,0.296909422,0.670516105,0.158756503,0.172305384,247
0.21458751,0.196320236,0.173285514,0.205216515,0.311418474,0.656176088,0.172305384,0.184242444,248
0.222440362,0.201748967,0.180387199,0.205712582,0.327429235,0.637433236,0.184242444,0.180316619,249
0.223929048,0.201589227,0.179088205,0.208427957,0.352039784,0.61593122,0.180316619,0.155357314,250
0.314989328,0.177922189,0.241868615,0.10775038,0.016747378,0.644887176,0.155357314,0.117455555,251
0.1533373,0.113573492,0.111916393,0.123950623,0.657317638,0.653488988,0.117455555,0.110481632,252
0.142022073,0.085032225,0.18475312,0.148012554,-0.111241847,0.66029033,0.110481632,0.111375315,253
0.113426089,0.091052532,0.118113369,0.211289147,0.602827907,0.657384842,0.111375315,0.109651783,254
0.123391926,0.132116318,0.114048988,0.1752522,0.376131356,0.653494272,0.109651783,0.107242029,255
0.126859069,0.13854754,0.114532158,0.172072923,0.308924705,0.630459981,0.107242029,0.133286521,256
0.122040629,0.147037566,0.123733453,0.187847089,0.336137921,0.64591817,0.133286521,0.120854745,257
0.148927569,0.157610953,0.12680608,0.192422663,0.320570558,0.668521228,0.120854745,0.121333504,258
0.186070263,0.166561842,0.13124378,0.187540159,0.284355044,0.676190911,0.121333504,0.123583671,259
0.171743393,0.167925537,0.134161562,0.179495867,0.306668013,0.697740721,0.123583671,0.127381826,260
0.165228128,0.165580094,0.13452214,0.182166352,0.261991322,0.697602304,0.127381826,0.140691328,261
0.167355478,0.167760253,0.139522046,0.188844483,0.313738018,0.71905388,0.140691328,0.156378666,262
0.174031436,0.173919022,0.150227457,0.188600077,0.319519371,0.712279554,0.156378666,0.152213463,263
0.174507916,0.174247622,0.149046168,0.197203851,0.353205651,0.738863354,0.152213463,0.165411254,264
0.18937248,0.180796206,0.161341682,0.206724878,0.299863875,0.751446828,0.165411254,0.158724586,265
0.207157195,0.188921928,0.163565278,0.210062622,0.35422498,0.739363535,0.158724586,0.158740545,266
0.22862035,0.197159827,0.165890232,0.210979085,0.299429655,0.720368774,0.158740545,0.146643899,267
0.241688609,0.198369682,0.166781962,0.199805715,0.274088234,0.72321077,0.146643899,0.153250774,268
0.22842145,0.197235227,0.162408262,0.201009719,0.304923832,0.697541533,0.153250774,0.137324056,269
0.226680279,0.191027641,0.160977408,0.18727974,0.232343256,0.678745174,0.137324056,0.142574447,270
0.208073795,0.182861388,0.15217042,0.188782389,0.309916437,0.677065142,0.142574447,0.144250104,271
0.181072831,0.179381073,0.151635647,0.193328313,0.290735036,0.66236905,0.144250104,0.154958348,272
0.199129999,0.182937205,0.157199696,0.200928348,0.278039515,0.691238604,0.154958348,0.136478248,273
0.210919976,0.184482813,0.150675535,0.195639364,0.341586649,0.691333206,0.136478248,0.134100412,274
