GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,real,t
0.442740738,0.502787232,0.426625729,0.223636927,0.533657551,0.848907471,0.398375411,558
0.354827613,0.411728203,0.370277792,0.223249746,0.563224792,0.847909332,0.374150203,559
0.551193595,0.42616114,0.403777421,0.216023963,0.536266804,0.827591358,0.364718649,560
0.4277623,0.423748493,0.375040948,0.203206522,0.546942651,0.815642978,0.396316747,561
0.46187982,0.424266845,0.37864393,0.20945134,0.524347544,0.791969492,0.415435192,562
0.369861603,0.426311344,0.384620368,0.195178056,0.524142802,0.797648123,0.402492739,563
0.340752751,0.426606655,0.399746001,0.196236788,0.528990328,0.822812763,0.389917334,564
0.311374933,0.443778992,0.405794561,0.200044371,0.532696187,0.829898788,0.383629632,565
0.358483702,0.466861516,0.401265562,0.201258274,0.525736868,0.808471034,0.377645144,566
0.375546753,0.45441258,0.383776605,0.213010422,0.524688542,0.779348349,0.386550062,567
0.360966623,0.441038221,0.37673381,0.212423437,0.517340064,0.786851879,0.370032875,568
0.287752986,0.436436206,0.38148874,0.192352474,0.518405914,0.775311746,0.386789442,569
0.275794417,0.443903834,0.371788561,0.179766913,0.520599842,0.786523879,0.375873735,570
0.278939754,0.423156202,0.382190168,0.186049021,0.526275158,0.796805509,0.36483036,571
0.259535402,0.416306794,0.37493214,0.192503435,0.540767312,0.867047927,0.387986339,572
0.348757565,0.448428899,0.382296234,0.161776809,0.530177236,0.865094035,0.399412722,573
0.389081419,0.414286017,0.378695548,0.186750438,0.535245299,0.854049163,0.416105455,574
0.434837729,0.425749809,0.389710397,0.206108001,0.519524097,0.853056483,0.425425298,575
0.32189551,0.435646981,0.406548083,0.197404017,0.521516144,0.863953433,0.436085666,576
0.343963146,0.462130398,0.417951077,0.208131164,0.516147912,0.775905258,0.433659953,577
0.335351378,0.466677576,0.425066322,0.225034536,0.518974423,0.77212829,0.440059366,578
0.348856956,0.476913989,0.426587999,0.245894081,0.517020881,0.793628461,0.447623759,579
0.322696835,0.481572002,0.43224293,0.245907472,0.519440413,0.780201542,0.453145447,580
0.343664259,0.488462687,0.437156796,0.251137359,0.52265203,0.770808464,0.452347515,581
0.338615179,0.484403193,0.442440569,0.265216277,0.532936573,0.730941489,0.452203888,582
0.39425379,0.502395809,0.450348198,0.262849547,0.529005289,0.702406811,0.446123648,583
0.388085127,0.495764077,0.446181893,0.274787849,0.53744036,0.718258945,0.43895822,584
0.436619997,0.500789225,0.445735812,0.285727431,0.532805324,0.761655806,0.446777952,585
0.403497398,0.496787518,0.43870616,0.274911269,0.535949171,0.812235708,0.449075995,586
0.427958518,0.493394107,0.442569733,0.274227473,0.533936381,0.839148833,0.456512719,587
0.422963977,0.492228121,0.442652822,0.271751928,0.535594642,0.843348183,0.45486898,588
